,video_id,title,tags,views,likes,dislikes,comment_total,combined_features,index
2412,ypXwioZXUrE,Why We Feel Lonely and Odd,th schl f lif ducati rlatiships alai d btt philsphy imprvmt curriculum big qustis lv midfullss psychlgy slf imag cfidc lly itrvrt xtrvrt dd why d i fl lly am i rmal? dd? al lliss scic dprssi sad sigl schl f lif guys fligs rlatiship brai axity flig lly buzzfd m mtis pai mtivati llist scial girlfrid stirs sl isam fühl s stir sul 感觉孤独 अकेला महसूस करना,173570.8,9008.2,136.6,629.2,th schl f lif ducati rlatiships alai d btt philsphy imprvmt curriculum big qustis lv midfullss psychlgy slf imag cfidc lly itrvrt xtrvrt dd why d i fl lly am i rmal? dd? al lliss scic dprssi sad sigl schl f lif guys fligs rlatiship brai axity flig lly buzzfd m mtis pai mtivati llist scial girlfrid stirs sl isam fühl s stir sul 感觉孤独 अकेला महसूस करना Why We Feel Lonely and Odd,2412
857,L6wODNHi4qE,Preview: Get On Board The Brand New Season! | Season 4 | THE LAST MAN ON EARTH,Th Last Ma O Earth Will Frt Krist Schaal pst apcalyptic Th Last Ma O Earth TV Th Last Ma  Earth Full Jas Sudikis Jauary Js Ml Rdriguz Chris Millr Phil Lrd Mary Stburg Clpatra Clma Saturday Night Liv Philip Tady pst-apcalyptic Aliv i Tucs Tusc Carl Pilbasia Itratial Spac Stati Mik Millr Sas 4 Prviw Gt O Bard Th Brad Nw Sas! sas prmir Captai Tady Jrmy Krist Wiig,13301.5,114.0,6.0,19.5,Th Last Ma O Earth Will Frt Krist Schaal pst apcalyptic Th Last Ma O Earth TV Th Last Ma  Earth Full Jas Sudikis Jauary Js Ml Rdriguz Chris Millr Phil Lrd Mary Stburg Clpatra Clma Saturday Night Liv Philip Tady pst-apcalyptic Aliv i Tucs Tusc Carl Pilbasia Itratial Spac Stati Mik Millr Sas 4 Prviw Gt O Bard Th Brad Nw Sas! sas prmir Captai Tady Jrmy Krist Wiig Preview: Get On Board The Brand New Season! | Season 4 | THE LAST MAN ON EARTH,857
964,O2pyRDQgVjk,What Really Happened the First Time We Split a Heavy Atom in Half,SciShw scic Hak Gr ducati lar What Rally Happd th First Tim W Split th Atm mrs split a atm lis mitr uclar fissi bl priz max plack tt hah radiati istp radiactiv dcay barium radium krypt fritz strassma utr tt frisch albrt isti atmic bmb uclar ractr ric frmi award mitrium physicist,362946.25,14405.25,293.0,977.25,SciShw scic Hak Gr ducati lar What Rally Happd th First Tim W Split th Atm mrs split a atm lis mitr uclar fissi bl priz max plack tt hah radiati istp radiactiv dcay barium radium krypt fritz strassma utr tt frisch albrt isti atmic bmb uclar ractr ric frmi award mitrium physicist What Really Happened the First Time We Split a Heavy Atom in Half,964
1292,Wp2TUPo5W0c,Daniel and Depression,dail ad dprssi dprssi dail hwll da hwll dail dprssd mtal halth mtal halth wrld mtal halth day yug mids charity awarss stry tim illss abut sadss xpric suffr 2017 hlp rcvry pizza hl srti dpami causs why hw bilgical scic biplar gtic psychlgical scilgical ras struggl idtity dctr advic thrapy lik what atidprssats sid ffcts ismia slp mms,1591614.75,282581.75,710.5,52271.0,dail ad dprssi dprssi dail hwll da hwll dail dprssd mtal halth mtal halth wrld mtal halth day yug mids charity awarss stry tim illss abut sadss xpric suffr 2017 hlp rcvry pizza hl srti dpami causs why hw bilgical scic biplar gtic psychlgical scilgical ras struggl idtity dctr advic thrapy lik what atidprssats sid ffcts ismia slp mms Daniel and Depression,1292
2108,r3wQ8ISV4wc,Preview: The Most Surprising Adventure Yet | Season 1 Ep. 5 | THE ORVILLE,THE ORVILLE FOX SETH MACFARLANE Fx Bradcastig TV Cmdy Family Guy Aimati O Fx Bb's Burgrs Td Td 2 Ptr Griffi Sth McFarla Bra Braga David A. Gdma Jas Clark Liz Hlds Ed Mrcr Scic Ficti Spac Outr Spac J Favrau Th Jugl Bk Friday Night Lights Nighbrs Agts f S.H.I.E.L.D Sas 1 Episd 5 Pria Th Mst Surprisig Advtur Charliz Thr gust stars w pisd Prviw,12455.5,281.0,4.5,74.0,THE ORVILLE FOX SETH MACFARLANE Fx Bradcastig TV Cmdy Family Guy Aimati O Fx Bb's Burgrs Td Td 2 Ptr Griffi Sth McFarla Bra Braga David A. Gdma Jas Clark Liz Hlds Ed Mrcr Scic Ficti Spac Outr Spac J Favrau Th Jugl Bk Friday Night Lights Nighbrs Agts f S.H.I.E.L.D Sas 1 Episd 5 Pria Th Mst Surprisig Advtur Charliz Thr gust stars w pisd Prviw Preview: The Most Surprising Adventure Yet | Season 1 Ep. 5 | THE ORVILLE,2108
1767,iALfvFpcItE,Why Are You Anxious?,Axity Scic f Axity Gralizd Axity Disrdr OCD Phbias Mtal Halth Mtal illss What causs axity is axity bad fr yu what is t much axity Hw t trat axity with mdici hw t trat axity with thraphy is axity gtic hw ds axity ffct my halth d I hav axity? Mtal Halth Stigma mtal halth scic paic attack axity attack strss hw t cp with strss what is axity what is a axity disrdr,261553.0,11975.0,145.0,1159.0,Axity Scic f Axity Gralizd Axity Disrdr OCD Phbias Mtal Halth Mtal illss What causs axity is axity bad fr yu what is t much axity Hw t trat axity with mdici hw t trat axity with thraphy is axity gtic hw ds axity ffct my halth d I hav axity? Mtal Halth Stigma mtal halth scic paic attack axity attack strss hw t cp with strss what is axity what is a axity disrdr Why Are You Anxious?,1767
32,-s267WkYVoo,Why We Need To Be Talking About American Tail,Crackd crackd.cm sktch cmdy fuy spf laugh satir pardy hilarius spfs Amrica tail D Bluth Smwhr Out Thr Fivl fivl muskwitz N Cats i amrica Fivl gs wst Mvi facts mvi trivial bst aimatd mvi film thry mvi histry jwish histry russia histry cut bridgtt grbrg Stv Spilbrg,186264.0,7703.0,544.0,1421.0,Crackd crackd.cm sktch cmdy fuy spf laugh satir pardy hilarius spfs Amrica tail D Bluth Smwhr Out Thr Fivl fivl muskwitz N Cats i amrica Fivl gs wst Mvi facts mvi trivial bst aimatd mvi film thry mvi histry jwish histry russia histry cut bridgtt grbrg Stv Spilbrg Why We Need To Be Talking About American Tail,32
1463,a5NIg5yyHWo,Pawn Stars: An Original 1978 Superman Costume (Season 14) | History,histry histry chal histry shws histry chal shws Paw Stars Paw Stars clips Paw Stars full pisds paw las vgas gld & silvr paw shp gld ad silvr paw shp rick harris cry harris suprma christphr rv frtrss f slitud crystal kryptit suprma th mvi yv blak PLE6A5F7F558CDD4F2 Suprma Cstum Sas 14 Up Up ad Away! Episd 6 -Kryptit crystal Cry rvals dp lv rigial HISTORY,400104.0,2432.0,123.0,386.0,histry histry chal histry shws histry chal shws Paw Stars Paw Stars clips Paw Stars full pisds paw las vgas gld & silvr paw shp gld ad silvr paw shp rick harris cry harris suprma christphr rv frtrss f slitud crystal kryptit suprma th mvi yv blak PLE6A5F7F558CDD4F2 Suprma Cstum Sas 14 Up Up ad Away! Episd 6 -Kryptit crystal Cry rvals dp lv rigial HISTORY Pawn Stars: An Original 1978 Superman Costume (Season 14) | History,1463
516,CYoRmfI0LUc,"Hello, world. Meet our baby girl: Alexis Olympia Ohanian, Jr.",[],2063424.857142857,21249.85714285714,4129.714285714285,6833.571428571428,"[] Hello, world. Meet our baby girl: Alexis Olympia Ohanian, Jr.",516
1964,nZtpLKCoUWg,The Unfortunate Truth About The Civil War,Crackd crackd.cm sktch cmdy fuy spf satir pardy hilarius civil war myths apl cfdrats slav wrs fals histry rbrt  l luisiaa purchas civil war histry ati-slav cfdrat status cfdrat flag zra bikagaga histry tachr fu facts crash curs Rbrt E. L Stwall Jacks Jffrs Davis g with th wid atbllum suth missuri cmprmis jh brw bldig kasas Drd Sctt Abraham Licl,223198.5,11889.5,1622.5,3142.75,Crackd crackd.cm sktch cmdy fuy spf satir pardy hilarius civil war myths apl cfdrats slav wrs fals histry rbrt  l luisiaa purchas civil war histry ati-slav cfdrat status cfdrat flag zra bikagaga histry tachr fu facts crash curs Rbrt E. L Stwall Jacks Jffrs Davis g with th wid atbllum suth missuri cmprmis jh brw bldig kasas Drd Sctt Abraham Licl The Unfortunate Truth About The Civil War,1964
269,62cWuFjzOgs,Apple Watch Series 3 hands-on live from Apple Event 2017,gadgt tchlgy csumr tch al gadgts scic gar tch Appl Watch Sris 3 hads- Appl Watch Sris 3 hads- Appl Watch hads- LTE Appl Watch LTE Sris 3 Appl Watch 3 cllular cllular Appl Watch 3 Appl Watch 3 hads-,56136.0,374.0,52.0,162.0,gadgt tchlgy csumr tch al gadgts scic gar tch Appl Watch Sris 3 hads- Appl Watch Sris 3 hads- Appl Watch hads- LTE Appl Watch LTE Sris 3 Appl Watch 3 cllular cllular Appl Watch 3 Appl Watch 3 hads- Apple Watch Series 3 hands-on live from Apple Event 2017,269
424,AEaKrq3SpW8,The Internet: Crash Course Computer Science #29,Jh Gr Hak Gr vlgbrthrs Crash Curs crashcurs ducati cmputig cmputrs cmputr scic cmpsci LAN WAN Itrt packt TCP IP TCP/IP UDP IP addrss ISP Itrt Srvic Prvidr chcksum dmais dmai am DNS dmai am systm subdmais p systm itrccti mdl OSI mdl wrld wid wb trasmissi ctrl prtcl itrt prtcl usr datagram prtcl prt umbr,60289.0,2188.3333333333335,46.666666666666664,282.3333333333333,Jh Gr Hak Gr vlgbrthrs Crash Curs crashcurs ducati cmputig cmputrs cmputr scic cmpsci LAN WAN Itrt packt TCP IP TCP/IP UDP IP addrss ISP Itrt Srvic Prvidr chcksum dmais dmai am DNS dmai am systm subdmais p systm itrccti mdl OSI mdl wrld wid wb trasmissi ctrl prtcl itrt prtcl usr datagram prtcl prt umbr The Internet: Crash Course Computer Science #29,424
366,8hAdOYDoo4c,First Look! Ellen Scores Deleted Scenes from Taylor Swift's 'Look What You Made Me Do',Taylr Swift gav hr frid Ell th first lk at dltd scs frm Lk What Yu Mad M D music vid.,5367703.0,175021.25,4004.75,5275.75,Taylr Swift gav hr frid Ell th first lk at dltd scs frm Lk What Yu Mad M D music vid. First Look! Ellen Scores Deleted Scenes from Taylor Swift's 'Look What You Made Me Do',366
949,NSFXDaMFUN4,Tara where are we?,travl fuy racti tara sillylittlkiwi,150875.0,430.0,470.0,90.0,travl fuy racti tara sillylittlkiwi Tara where are we?,949
1265,WCKJPn1UcXc,One America Appeal: Our Friends In Texas,amricaappal FPOTUS HarvyRlif HustStrg,952945.0,17703.0,3207.0,0.0,amricaappal FPOTUS HarvyRlif HustStrg One America Appeal: Our Friends In Texas,1265
1443,_lGL4Um83LM,"Damage from Hurricane Irma at the Magic Kingdom, Walt Disney World",[],47808.666666666664,177.33333333333334,6.0,73.33333333333333,"[] Damage from Hurricane Irma at the Magic Kingdom, Walt Disney World",1443
223,4xbFVdoRzLQ,How To Stop A North Korean Nuclear Missile,missil rth kra uclar dfc stp prtct girig scic physics thaad agis patrit wap hw agis wrks rth kra missil icbm aimati icbm itrcptr icbm tst icbm lauch thaad missil tst systm thaad tst hw t stp a icbm kim jg u uclar waps rth kra uks hw ds thaad wrk hw ds agis wrk multipl kill vhicl missil dfs hw thaad wrks ral girig,359726.75,12729.5,351.5,1404.0,missil rth kra uclar dfc stp prtct girig scic physics thaad agis patrit wap hw agis wrks rth kra missil icbm aimati icbm itrcptr icbm tst icbm lauch thaad missil tst systm thaad tst hw t stp a icbm kim jg u uclar waps rth kra uks hw ds thaad wrk hw ds agis wrk multipl kill vhicl missil dfs hw thaad wrks ral girig How To Stop A North Korean Nuclear Missile,223
1560,cIsewG2g-1g,How Hans Zimmer and Radiohead transformed Bloom for Blue Planet II,vx.cm vx xplai radihad has zimmr blm ca blu plat blu plat 2 cagraphy bbc arth bbc  christph haubursi thm yrk jy grwd music watr pitillism rchstra tidal,222328.0,9275.0,138.0,760.0,vx.cm vx xplai radihad has zimmr blm ca blu plat blu plat 2 cagraphy bbc arth bbc  christph haubursi thm yrk jy grwd music watr pitillism rchstra tidal How Hans Zimmer and Radiohead transformed Bloom for Blue Planet II,1560
904,M7XdnYiQKjQ,You Don't Know How It Feels - Tom Petty Cover (Walk off the Earth),Tm Ptty cvr yu d't kw hw it fls cvr walk ff th arth cvr rip tm ptty amazig tm ptty cvr tm ptty yu d't kw hw it fls amazig liv prfmcs amazig cvrs wt wt cvrs,221410.0,9685.0,82.75,361.5,Tm Ptty cvr yu d't kw hw it fls cvr walk ff th arth cvr rip tm ptty amazig tm ptty cvr tm ptty yu d't kw hw it fls amazig liv prfmcs amazig cvrs wt wt cvrs You Don't Know How It Feels - Tom Petty Cover (Walk off the Earth),904
